Item,Quantity,Price total,Notes,Url
MGN12 Rail and Bearing,1,91.95,,https://3dprintingcanada.com/products/12mm-linear-rail-1000mm-long-in-store-only
2020 Aluminum Extrusion,1.5m,,Owned ,
Aluminum Sheet,1'x1',25$,Estimated,https://metalsrus.ca/collections/aluminum-sheet/products/aluminum-sheet-1-8-x-cut-6061-t6
D-shaft,1,17.20$,,https://www.studica.ca/en/6mm-x-70mm-d-shaft-6-pack
D-shaft collar,1,5.73$,,https://www.studica.ca/en/d-shaft-collar-6mm-id-12mm-od-6-pack
Shaft Hex,1,40.00$,,https://wcproducts.ca/products/wcp-2144?variant=42953474801753
Hex Collar,1,19.96$,,https://wcproducts.ca/products/clamping-shaft-collars
WCP Shipping,,34.00$,,
M3 Hardware,Kit,8.46$,,https://a.co/d/05ztOxsE
#8 and #10 Hardware,,10$,"Budget for extra hardware, already owned",
PAHT-CF,500g,51.19$,,https://ca.store.bambulab.com/products/paht-cf?srsltid=AfmBOoo9yahZt9e8wul8A48BubIoxm2_nRowFHK-coANhp9L3zFcJSUw
Gt2 belt,2.1m,20.97$,,https://www.digitmakers.ca/products/gt2-timing-belt-10-mm-width?pr_prod_strat=e5_desc&pr_rec_id=aa99c4462&pr_rec_pid=8444352715&pr_ref_pid=4371201589379&pr_seq=uniform
,Subtotal,324.46,,
,Tax,45.4244,,
,Total,369.8844,,
,Total USD,260.582894,,